abyss	abysses
addendum	addenda
alga	algae
alumna	alumnae
alumnus	alumni
amoeba	amoebae
analysis	analyses
antenna	antennas,antennae
apparatus	apparatuses
appendix	appendices,appendixes
aquarium	aquaria
arch	arches
atlas	atlases
axe	axes
axis	axes
baby	babies
bacillus	bacilli
bacterium	bacteria
barracks	barracks
basis	bases
batch	batches
beach	beaches
beau	beaux
bison	bison
brush	brushes
buffalo	buffalos,buffaloes
bureau	bureaus
bus	busses,buses
cactus	cactuses,cacti
calf	calves
chateau	chateaux
cherry	cherries
child	children
church	churches
circus	circuses
city	cities
cod	cod
copy	copies
corps	corps
corpus	corpora,corpuses
crisis	crises
criterion	criteria
curriculum	curricula
datum	data
deer	deer
diagnosis	diagnoses
dictionary	dictionaries
die	dice
domino	dominoes
dwarf	dwarfs,dwarves
echo	echoes
elf	elves
ellipsis	ellipses
embargo	embargoes
emphasis	emphases
erratum	errata
family	families
fax	faxes
fireman	firemen
fish	fish,fishes
flush	flushes
fly	flies
focus	focuses
foot	feet
formula	formulas
fungus	fungi,funguses
gallows	gallows
genus	genera
goose	geese
half	halves
hero	heroes
hippopotamus	hippopotami,hippopotamuses
hoax	hoaxes
hoof	hoofs,hooves
hypothesis	hypotheses
index	indices,indexes
iris	irises
kiss	kisses
knife	knives
lady	ladies
larva	larvae
leaf	leaves
life	lives
life	lives 
loaf	loaves
louse	lice
mango	mangoes
man	men
matrix	matrices
means	means
medium	media
memorandum	memoranda
mess	messes
millennium	millenniums,milennia
moose	moose
mosquito	mosquitoes
motto	mottoes
mouse	mice
nanny	nannies
nebula	nebulae,nebulas
neurosis	neuroses
nucleus	nuclei
oasis	oases
octopus	octopi,octopuses
offspring	offspring
ovum	ova
ox	oxen
paralysis	paralyses
parenthesis	parentheses
party	parties
pass	passes
penny	pennies
person	people
phenomenon	phenomena
plateau	plateaux
poppy	poppies
potato	potatoes
quiz	quizzes
radius	radii,radiuses
reflex	reflexes
runner-up	runners-up
scarf	scarfs,scarves
scissors	scissors
scratch	scratches
self	selves
series	series
sheaf	sheaves
sheep	sheep
shelf	shelves
son-in-law	sons-in-law
species	species
splash	splashes
spy	spies
stimulus	stimuli
stitch	stitches
story	stories
stratum	strata
syllabus	syllabi,syllabuses
symposium	symposia,symposiums
synopsis	synopses
synthesis	syntheses
tableau	tableaux
tax	taxes
that	those
thesis	theses
thief	thieves
this	these
tomato	tomatoes
tooth	teeth
tornado	tornadoes
torpedo	torpedoes
try	tries
vertebra	vertebrae
veto	vetoes
vita	vitae
volcano	volcanoes
waltz	waltzes
wash	washes
watch	watches
wharf	wharves
wife	wives
wolf	wolves
woman	women
zero	zeros,zeroes
